Participant ID,Shape,Color,Reaction Time (ms),Error
9,triangle,yellow,,0
9,triangle,red,504,0
9,X,blue,,0
9,square,red,697,0
9,X,green,,0
9,triangle,yellow,,0
9,X,yellow,,0
9,minus,blue,,0
9,X,green,,0
9,triangle,yellow,,0
9,X,blue,,0
9,circle,yellow,,0
9,minus,red,693,0
9,square,red,316,0
9,triangle,orange,,0
9,arrow,red,931,0
9,triangle,red,322,0
9,arrow,red,315,0
9,triangle,blue,,0
9,minus,red,431,0
9,triangle,red,535,0
9,square,yellow,,0
9,arrow,blue,,0
9,arrow,red,437,0
9,triangle,blue,,0
9,circle,yellow,,0
9,X,red,712,0
9,minus,red,400,0
9,square,orange,,0
9,square,red,641,0
9,X,green,,0
9,square,red,353,0
9,circle,red,685,0
9,triangle,orange,,0
9,arrow,red,795,0
9,arrow,red,424,0
9,square,green,,0
9,minus,red,770,0
9,circle,red,535,0
9,X,red,662,0